"Date"	"Area"	"Box"	"Chick_ID"	"Ring"	"Tarsus"	"Mass"	"Order"	"Treatment"	"Playback_ID"	"Group_size"	"Beg_rest"	"Jump_rest"	"Gape_rest"	"Look_rest"	"Shift_rest"	"Beg_play"	"Jump_play"	"Gape_play"	"Look_play"	"Shift_play"
"143"	2019-06-16	"ISG"	"ISG_12"	"4 dot"	"DC17686"	19.5	14	1	"Pied"	"p4"	7	0	0	0	0	0	9	0	0	2	0
"144"	2019-06-16	"ISG"	"ISG_12"	"1 line"	"DC17688"	19.7	13.7	1	"Pied"	"p4"	7	0	0	0	0	0	0	0	0	0	0
"145"	2019-06-16	"ISG"	"ISG_12"	"1 cross"	"DC17689"	19.8	13.9	1	"Pied"	"p4"	7	0	0	0	0	0	11	1	0	0	0
"146"	2019-06-16	"ISG"	"ISG_12"	"no dot"	"DC17691"	20.2	14.1	2	"Collared"	"c8"	7	0	1	0	0	0	11	0	0	2	0
"147"	2019-06-16	"ISG"	"ISG_12"	"1 dot"	"DC17687"	20	14	2	"Collared"	"c8"	7	0	0	0	0	0	13	0	0	0	0
"148"	2019-06-16	"ISG"	"ISG_12"	"2 dot"	"DC17692"	19.7	13.3	2	"Collared"	"c8"	7	0	0	0	0	1	0	0	0	0	0
"149"	2019-06-16	"ISG"	"ISG_12"	"3 dot"	"DC17690"	20	14.7	2	"Collared"	"c8"	7	11	0	0	0	0	14	2	2	0	0
"150"	2019-06-16	"ISG"	"ISG_12"	"4 dot"	"DC17686"	19.5	14	2	"Collared"	"c8"	7	1	0	0	0	0	6	0	0	0	0
"151"	2019-06-16	"ISG"	"ISG_12"	"1 line"	"DC17688"	19.7	13.7	2	"Collared"	"c8"	7	0	0	0	0	0	0	0	0	0	0
"152"	2019-06-16	"ISG"	"ISG_12"	"1 cross"	"DC17689"	19.8	13.9	2	"Collared"	"c8"	7	13	1	0	0	0	2	0	0	0	0
"153"	2019-06-16	"WAT"	"WAT_8X"	"no dot"	"DC17538"	19.9	14.3	1	"Collared"	"c7"	5	0	0	0	0	0	0	0	0	0	0
"154"	2019-06-16	"WAT"	"WAT_8X"	"1 dot"	"DC17539"	20.2	15.1	1	"Collared"	"c7"	5	0	0	0	0	0	6	0	2	1	0
"155"	2019-06-16	"WAT"	"WAT_8X"	"2 dot"	"DC17540"	19.4	15.1	1	"Collared"	"c7"	5	0	0	0	0	0	0	0	0	0	0
"156"	2019-06-16	"WAT"	"WAT_8X"	"3 dot"	"DC17541"	19.6	14.5	1	"Collared"	"c7"	5	0	0	0	0	0	0	0	0	0	0
"157"	2019-06-16	"WAT"	"WAT_8X"	"1 line"	"DC17542"	20.4	14.6	1	"Collared"	"c7"	5	0	0	0	0	0	0	0	0	1	0
"158"	2019-06-16	"WAT"	"WAT_8X"	"no dot"	"DC17538"	19.9	14.3	2	"Pied"	"p9"	5	0	0	0	0	0	0	0	0	0	0
"159"	2019-06-16	"WAT"	"WAT_8X"	"1 dot"	"DC17539"	20.2	15.1	2	"Pied"	"p9"	5	0	0	0	1	0	3	2	0	0	0
"160"	2019-06-16	"WAT"	"WAT_8X"	"2 dot"	"DC17540"	19.4	15.1	2	"Pied"	"p9"	5	0	0	0	0	0	0	0	0	0	0
"161"	2019-06-16	"WAT"	"WAT_8X"	"3 dot"	"DC17541"	19.6	14.5	2	"Pied"	"p9"	5	0	0	0	0	0	3	2	0	1	0
