"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"121"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	6	40	0	0	"1"
"122"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	7	40	1	0	"2"
"123"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	8	40	0	0	"1"
"124"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	9	25	0	1	"2"
"125"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	10	40	1	0	"2"
"126"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	11	40	0	0	"1"
"127"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	12	40	1	0	"2"
"128"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	13	40	0	0	"1"
"129"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	14	40	0	0	"1"
"130"	"HAL"	"40"	2019-05-12	1899-12-31 07:25:00	"cc-ps-8"	"cc-ps"	15	40	0	0	"1"
"131"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	6	40	0	0	"1"
"132"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	7	40	0	0	"1"
"133"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	8	40	0	0	"1"
"134"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	9	40	0	0	"1"
"135"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	10	40	0	0	"1"
"136"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	11	40	0	0	"1"
"137"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	12	40	0	0	"1"
"138"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	13	40	0	0	"1"
"139"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	14	40	0	0	"1"
"140"	"HAL"	"33"	2019-05-12	1899-12-31 08:40:00	"cc-cs-9"	"cc-cs"	15	40	0	0	"1"
"141"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	6	40	0	0	"1"
"142"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	7	40	0	0	"1"
"143"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	8	40	1	0	"2"
"144"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	9	5	1	1	"4"
"145"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	10	7	0	1	"3"
"146"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	11	7	0	1	"3"
"147"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	12	5	0	1	"3"
"148"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	13	5	0	1	"3"
"149"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	14	25	0	1	"2"
"150"	"EKE"	"98"	2019-05-12	1899-12-31 11:20:00	"cc-ps-9"	"cc-ps"	15	3	0	1	"3"
"151"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	6	40	0	0	"1"
"152"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	7	20	0	1	"2"
"153"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	8	8	1	1	"4"
"154"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	9	15	1	1	"3"
"155"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	10	40	1	0	"2"
"156"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	11	30	0	1	"2"
"157"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	12	7	0	1	"3"
"158"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	13	40	0	0	"1"
"159"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	14	20	0	1	"2"
"160"	"EKE"	"B10"	2019-05-12	1899-12-31 12:00:00	"cc-cs-10"	"cc-cs"	15	40	0	0	"1"
